clone_type,feature,coefficient,importance_abs,interpretation
0,entropy_difference,1.0457430834859252,1.0457430834859252,empuja_hacia_la_clase
0,apted_tree_edit_similarity,-0.9621519105721983,0.9621519105721983,aleja_de_la_clase
0,jaccard_similarity,-0.8789388274566727,0.8789388274566727,aleja_de_la_clase
0,semantic_output_similarity,-0.7697087187262367,0.7697087187262367,aleja_de_la_clase
0,tfidf_cosine_similarity,0.6556071970520385,0.6556071970520385,empuja_hacia_la_clase
0,markov_similarity,0.5467265788196672,0.5467265788196672,empuja_hacia_la_clase
0,ast_node_count_similarity,0.5357506025135796,0.5357506025135796,empuja_hacia_la_clase
0,embedding_cosine_similarity,-0.4966205317180338,0.4966205317180338,aleja_de_la_clase
0,ast_node_type_jaccard,0.437976426993611,0.437976426993611,empuja_hacia_la_clase
0,tree_edit_similarity,-0.43402026080971146,0.43402026080971146,aleja_de_la_clase
1,embedding_cosine_similarity,1.2458104219635753,1.2458104219635753,empuja_hacia_la_clase
1,string_similarity_ratio,1.1523654131391865,1.1523654131391865,empuja_hacia_la_clase
1,kl_similarity,0.5981926668601262,0.5981926668601262,empuja_hacia_la_clase
1,ast_node_count_similarity,0.5903109839740786,0.5903109839740786,empuja_hacia_la_clase
1,ast_sequence_similarity,-0.5648236613482414,0.5648236613482414,aleja_de_la_clase
1,ast_depth_similarity,-0.40500850540789773,0.40500850540789773,aleja_de_la_clase
1,tfidf_cosine_similarity,-0.2799852163618436,0.2799852163618436,aleja_de_la_clase
1,entropy_difference,0.2492388848876339,0.2492388848876339,empuja_hacia_la_clase
1,apted_tree_edit_similarity,0.21130849647609767,0.21130849647609767,empuja_hacia_la_clase
1,ast_node_type_jaccard,-0.17414516628416696,0.17414516628416696,aleja_de_la_clase
2,ast_sequence_similarity,1.5562373426595317,1.5562373426595317,empuja_hacia_la_clase
2,entropy_difference,-1.1497887161728542,1.1497887161728542,aleja_de_la_clase
2,tree_edit_similarity,0.9511643616781932,0.9511643616781932,empuja_hacia_la_clase
2,string_similarity_ratio,-0.8027057372483922,0.8027057372483922,aleja_de_la_clase
2,apted_tree_edit_similarity,0.7946137999973973,0.7946137999973973,empuja_hacia_la_clase
2,markov_similarity,-0.5923099158703379,0.5923099158703379,aleja_de_la_clase
2,embedding_cosine_similarity,-0.368892756353316,0.368892756353316,aleja_de_la_clase
2,ast_node_type_jaccard,0.3049143103023016,0.3049143103023016,empuja_hacia_la_clase
2,ast_depth_similarity,0.25655880794170394,0.25655880794170394,empuja_hacia_la_clase
2,ast_node_count_similarity,0.21621079298699342,0.21621079298699342,empuja_hacia_la_clase
3,embedding_cosine_similarity,1.1032407438755036,1.1032407438755036,empuja_hacia_la_clase
3,ast_node_count_similarity,-0.6611117748721613,0.6611117748721613,aleja_de_la_clase
3,jaccard_similarity,0.6317612080090812,0.6317612080090812,empuja_hacia_la_clase
3,ast_sequence_similarity,0.4260753102668023,0.4260753102668023,empuja_hacia_la_clase
3,semantic_output_similarity,-0.41613138059848603,0.41613138059848603,aleja_de_la_clase
3,ast_node_type_jaccard,-0.4075461723966109,0.4075461723966109,aleja_de_la_clase
3,kl_similarity,-0.3783371330724743,0.3783371330724743,aleja_de_la_clase
3,tree_edit_similarity,-0.3780095438459568,0.3780095438459568,aleja_de_la_clase
3,markov_similarity,-0.3745612849975018,0.3745612849975018,aleja_de_la_clase
3,apted_tree_edit_similarity,0.3390588909655683,0.3390588909655683,empuja_hacia_la_clase
