feature,importance
string_similarity_ratio,0.18918000915831965
string_exact_match,0.13894379924003128
structural_score,0.09143210778018167
tree_edit_distance,0.07851643895502881
ast_sequence_similarity,0.07731544303595174
markov_similarity,0.06223403293991051
ast_node_count_similarity,0.056002318249347975
tree_edit_similarity,0.055049048823570895
semantic_both_return_count,0.0318786756182268
semantic_output_similarity,0.028330126209182748
embedding_feature_count,0.025293879196232848
semantic_successful_overlap,0.023700032174097066
tfidf_cosine_similarity,0.023300382285972934
semantic_matching_return_count,0.01580759470529496
semantic_score,0.01521715128923287
embedding_cosine_similarity,0.014372709902620495
embedding_score,0.012574040079233444
jaccard_similarity,0.010786789177236815
semantic_total_cases,0.00929769102106792
kl_divergence_b_to_a,0.009117099533702716
ast_node_type_jaccard,0.008778373307942542
lexical_statistical_score,0.008530921610543854
kl_divergence_a_to_b,0.007815218814692628
semantic_tested_arity,0.004900367460338437
ast_depth_similarity,0.0016257494320384507
