feature,importance
string_similarity_ratio,0.18918000915831965
string_exact_match,0.13894379924003128
structural_score,0.09143210778018167
tree_edit_distance,0.07851643895502881
ast_sequence_similarity,0.07731544303595174
markov_similarity,0.06223403293991051
ast_node_count_similarity,0.056002318249347975
tree_edit_similarity,0.055049048823570895
semantic_both_return_count,0.0318786756182268
semantic_output_similarity,0.028330126209182748
embedding_feature_count,0.025293879196232848
semantic_successful_overlap,0.023700032174097066
tfidf_cosine_similarity,0.023300382285972934
semantic_matching_return_count,0.01580759470529496
semantic_score,0.01521715128923287
